vaccineStrain,2ndhalf,1sthalf,VE_Rsch,VE_All,VE_H3N2_CDC
EPI358781_A_Fujian_411_2002,2004,2005,0.09,0.1,
EPI367109_A_California_7_2004,2005,2006,0.36,0.21,
EPI502253_A_Wisconsin_67_2005,2006,2007,0.41,0.52,
EPI502253_A_Wisconsin_67_2005,2007,2008,0.54,0.37,
EPI577980_A_Brisbane_10_2007,2008,2009,0.51,0.41,
EPI577980_A_Brisbane_10_2007,2009,2010,,0.56,
EPI577969_A_Perth_16_2009,2010,2011,0.425,0.6,
EPI577969_A_Perth_16_2009,2011,2012,0.39,0.47,0.39
EPI417234_A_Victoria_361_2011,2012,2013,0.39,0.49,0.39
EPI417234_A_Victoria_361_2011,2013,2014,0.11,0.52,
EPI417234_A_Victoria_361_2011,2014,2015,0.06,0.19,0.06
EPI614441_A_Switzerland_9715293_2013,2015,2016,0.54,0.48,
EPI686117_A_Hong_Kong_15611_2015,2016,2017,0.33,0.4,0.33
EPI686117_A_Hong_Kong_15611_2015,2017,2018,0.22,0.38,0.22
EPI686117_A_Hong_Kong_15611_2015,2018,2019,0.09,0.39,0.09
