Site 1,Site 2,P [Site 1 –> Site 2],P [Site 2 –> Site 1],P [Site 1 <–> Site 2],Site 1 subs,Site 2 subs,Shared subs
7,51,"0.50","0.21","0.71",1,3,1
27,262,"0.098","0.62","0.72",3,1,1
46,312,"0.52","0.19","0.71",1,3,1
67,282,"0.37","0.29","0.67",1,3,1
72,684,"0.15","0.59","0.74",3,1,1
83,155,"0.41","0.23","0.64",1,3,1
85,251,"0.36","0.56","0.92",1,1,1
90,387,"0.29","0.34","0.63",2,2,1
101,711,"0.095","0.45","0.55",5,1,1
126,605,"0.25","0.29","0.54",1,3,1
140,438,"0.50","0.23","0.73",1,2,1
141,275,"0.48","0.38","0.86",1,1,1
194,270,"0.47","0.45","0.92",1,1,1
201,451,"0.56","0.15","0.71",1,3,1
204,350,"0.27","0.23","0.50",1,4,1
226,589,"0.26","0.27","0.54",2,2,1
228,611,"0.38","0.15","0.53",2,2,1
228,681,"0.34","0.42","0.76",2,1,1
238,519,"0.46","0.46","0.92",1,1,1
247,613,"0.20","0.50","0.71",3,1,1
252,646,"0.47","0.28","0.75",1,2,1
262,602,"0.55","0.091","0.64",1,4,1
263,511,"0.43","0.14","0.57",1,3,1
263,712,"0.54","0.22","0.76",1,2,1
296,309,"0.55","0.26","0.81",1,2,1
308,669,"0.14","0.54","0.68",2,1,1
321,682,"0.41","0.36","0.77",2,1,1
321,686,"0.38","0.13","0.51",2,2,1
335,526,"0.18","0.33","0.51",4,1,1
341,353,"0.40","0.11","0.51",1,2,1
341,486,"0.48","0.36","0.84",1,1,1
350,366,"0.22","0.29","0.51",4,1,1
382,598,"0.22","0.35","0.57",2,2,1
399,707,"0.42","0.41","0.84",1,1,1
430,551,"0.075","0.43","0.51",2,1,1
482,563,"0.30","0.32","0.62",2,2,1
497,518,"0.30","0.34","0.64",1,1,1
497,525,"0.25","0.34","0.59",1,1,1
500,539,"0.22","0.46","0.67",3,1,1
518,525,"0.30","0.35","0.65",1,1,1
551,614,"0.45","0.40","0.85",1,1,1
554,669,"0.14","0.52","0.67",2,1,1
594,713,"0.16","0.57","0.72",3,1,1
668,715,"0.24","0.47","0.71",3,1,1
